[07-Dec-2015 21:57:29 UTC] PHP Notice:  Undefined index: failCount in /var/www/m.kolodziejczak.webh.pl/public_html/AIML/admin/upload.php on line 244
[15-Dec-2015 22:21:51 UTC] PHP Warning:  include(login.php): failed to open stream: No such file or directory in /var/www/m.kolodziejczak.webh.pl/public_html/AIML/admin/index.php on line 111
[15-Dec-2015 22:21:51 UTC] PHP Warning:  include(): Failed opening 'login.php' for inclusion (include_path='.:/usr/share/pear:/usr/share/php') in /var/www/m.kolodziejczak.webh.pl/public_html/AIML/admin/index.php on line 111
[15-Dec-2015 22:21:56 UTC] PHP Warning:  include(login.php): failed to open stream: No such file or directory in /var/www/m.kolodziejczak.webh.pl/public_html/AIML/admin/index.php on line 111
[15-Dec-2015 22:21:56 UTC] PHP Warning:  include(): Failed opening 'login.php' for inclusion (include_path='.:/usr/share/pear:/usr/share/php') in /var/www/m.kolodziejczak.webh.pl/public_html/AIML/admin/index.php on line 111
[15-Dec-2015 22:22:01 UTC] PHP Warning:  include(login.php): failed to open stream: No such file or directory in /var/www/m.kolodziejczak.webh.pl/public_html/AIML/admin/index.php on line 111
[15-Dec-2015 22:22:01 UTC] PHP Warning:  include(): Failed opening 'login.php' for inclusion (include_path='.:/usr/share/pear:/usr/share/php') in /var/www/m.kolodziejczak.webh.pl/public_html/AIML/admin/index.php on line 111
[15-Dec-2015 22:22:16 UTC] PHP Warning:  include(login.php): failed to open stream: No such file or directory in /var/www/m.kolodziejczak.webh.pl/public_html/AIML/admin/index.php on line 111
[15-Dec-2015 22:22:16 UTC] PHP Warning:  include(): Failed opening 'login.php' for inclusion (include_path='.:/usr/share/pear:/usr/share/php') in /var/www/m.kolodziejczak.webh.pl/public_html/AIML/admin/index.php on line 111
[15-Dec-2015 22:22:26 UTC] PHP Warning:  include(login.php): failed to open stream: No such file or directory in /var/www/m.kolodziejczak.webh.pl/public_html/AIML/admin/index.php on line 111
[15-Dec-2015 22:22:26 UTC] PHP Warning:  include(): Failed opening 'login.php' for inclusion (include_path='.:/usr/share/pear:/usr/share/php') in /var/www/m.kolodziejczak.webh.pl/public_html/AIML/admin/index.php on line 111
[15-Dec-2015 22:22:28 UTC] PHP Warning:  include(login.php): failed to open stream: No such file or directory in /var/www/m.kolodziejczak.webh.pl/public_html/AIML/admin/index.php on line 111
[15-Dec-2015 22:22:28 UTC] PHP Warning:  include(): Failed opening 'login.php' for inclusion (include_path='.:/usr/share/pear:/usr/share/php') in /var/www/m.kolodziejczak.webh.pl/public_html/AIML/admin/index.php on line 111
[17-Dec-2015 08:02:20 UTC] PHP Warning:  unlink(/var/www/m.kolodziejczak.webh.pl/public_html/AIML/admin/downloads/Mike.AIML.zip): No such file or directory in /var/www/m.kolodziejczak.webh.pl/public_html/AIML/admin/download.php on line 30
